run_id,symbol,timeframe,entry_mode,neely_gate,vol_gate,minPlanScore,IS_n_trades,IS_win_rate,IS_profit_factor,IS_expectancy_r,IS_avg_win_r,IS_avg_loss_r,IS_total_r,IS_max_dd_r,IS_max_dd_pct,IS_max_consec_l,IS_cagr_r,IS_exposure,IS_sample_warn,OOS_n_trades,OOS_win_rate,OOS_profit_factor,OOS_expectancy_r,OOS_avg_win_r,OOS_avg_loss_r,OOS_total_r,OOS_max_dd_r,OOS_max_dd_pct,OOS_max_consec_l,OOS_cagr_r,OOS_exposure,OOS_sample_warn,overfit_flag
BTCUSDT_1h_reversion_neely-off_vol-off_mps4.0_default,BTC/USDT,1h,reversion,False,False,4.0,255,0.3569,0.826,-0.1329,1.7626,-1.1848,-33.901,50.423,7.9048,9,-10.91,0.1322,False,100,0.4,1.161,0.1095,1.9756,-1.1346,10.951,10.401,0.4871,8,8.223,0.1214,False,False
BTCUSDT_1h_reversion_neely-off_vol-off_mps4.0_fib_diag_emph,BTC/USDT,1h,reversion,False,False,4.0,366,0.3607,0.838,-0.1212,1.736,-1.1689,-44.373,67.638,5.2191,12,-14.28,0.1884,False,161,0.3913,1.134,0.0947,2.0545,-1.1651,15.248,17.555,0.7751,11,11.45,0.1768,False,False
BTCUSDT_1h_reversion_neely-off_vol-off_mps2.5_default,BTC/USDT,1h,reversion,False,False,2.5,517,0.3288,0.832,-0.1302,1.9584,-1.1534,-67.311,92.003,4.882,18,-21.662,0.2741,False,215,0.3628,0.997,-0.002,2.0619,-1.1771,-0.43,33.386,3.2686,15,-0.323,0.3213,False,False
BTCUSDT_1h_reversion_neely-off_vol-off_mps2.5_fib_diag_emph,BTC/USDT,1h,reversion,False,False,2.5,537,0.3464,0.877,-0.0925,1.9094,-1.1533,-49.666,76.347,4.1843,13,-15.984,0.2816,False,231,0.3636,1.007,0.0054,2.0708,-1.1749,1.246,33.068,3.1361,10,0.936,0.3313,False,False
BTCUSDT_1h_reversion_neely-off_vol-off_mps3.0_default,BTC/USDT,1h,reversion,False,False,3.0,445,0.3258,0.784,-0.169,1.8854,-1.162,-75.222,93.993,6.1986,13,-24.208,0.2134,False,183,0.377,1.107,0.0786,2.1556,-1.1784,14.39,23.543,4.1169,11,10.806,0.2381,False,False
BTCUSDT_1h_reversion_neely-off_vol-off_mps3.0_fib_diag_emph,BTC/USDT,1h,reversion,False,False,3.0,512,0.3457,0.855,-0.1104,1.8806,-1.1624,-56.544,85.711,3.806,12,-18.197,0.2596,False,226,0.3717,1.011,0.0085,2.0315,-1.1882,1.921,26.773,3.4899,9,1.442,0.278,False,False
BTCUSDT_1h_reversion_neely-off_vol-off_mps4.0_default,BTC/USDT,1h,reversion,False,False,4.0,255,0.3569,0.826,-0.1329,1.7626,-1.1848,-33.901,50.423,7.9048,9,-10.91,0.1322,False,100,0.4,1.161,0.1095,1.9756,-1.1346,10.951,10.401,0.4871,8,8.223,0.1214,False,False
BTCUSDT_1h_reversion_neely-off_vol-off_mps4.0_fib_diag_emph,BTC/USDT,1h,reversion,False,False,4.0,366,0.3607,0.838,-0.1212,1.736,-1.1689,-44.373,67.638,5.2191,12,-14.28,0.1884,False,161,0.3913,1.134,0.0947,2.0545,-1.1651,15.248,17.555,0.7751,11,11.45,0.1768,False,False
BTCUSDT_1h_reversion_neely-off_vol-off_mps2.5_default,BTC/USDT,1h,reversion,False,False,2.5,517,0.3288,0.832,-0.1302,1.9584,-1.1534,-67.311,92.003,4.882,18,-21.662,0.2741,False,215,0.3628,0.997,-0.002,2.0619,-1.1771,-0.43,33.386,3.2686,15,-0.323,0.3213,False,False
BTCUSDT_1h_reversion_neely-off_vol-off_mps2.5_fib_diag_emph,BTC/USDT,1h,reversion,False,False,2.5,537,0.3464,0.877,-0.0925,1.9094,-1.1533,-49.666,76.347,4.1843,13,-15.984,0.2816,False,231,0.3636,1.007,0.0054,2.0708,-1.1749,1.246,33.068,3.1361,10,0.936,0.3313,False,False
BTCUSDT_1h_reversion_neely-off_vol-off_mps3.0_default,BTC/USDT,1h,reversion,False,False,3.0,445,0.3258,0.784,-0.169,1.8854,-1.162,-75.222,93.993,6.1986,13,-24.208,0.2134,False,183,0.377,1.107,0.0786,2.1556,-1.1784,14.39,23.543,4.1169,11,10.806,0.2381,False,False
BTCUSDT_1h_reversion_neely-off_vol-off_mps3.0_fib_diag_emph,BTC/USDT,1h,reversion,False,False,3.0,512,0.3457,0.855,-0.1104,1.8806,-1.1624,-56.544,85.711,3.806,12,-18.197,0.2596,False,226,0.3717,1.011,0.0085,2.0315,-1.1882,1.921,26.773,3.4899,9,1.442,0.278,False,False
BTCUSDT_1h_reversion_neely-off_vol-off_mps4.0_default,BTC/USDT,1h,reversion,False,False,4.0,255,0.3569,0.826,-0.1329,1.7626,-1.1848,-33.901,50.423,7.9048,9,-10.91,0.1322,False,100,0.4,1.161,0.1095,1.9756,-1.1346,10.951,10.401,0.4871,8,8.223,0.1214,False,False
BTCUSDT_1h_reversion_neely-off_vol-off_mps4.0_fib_diag_emph,BTC/USDT,1h,reversion,False,False,4.0,366,0.3607,0.838,-0.1212,1.736,-1.1689,-44.373,67.638,5.2191,12,-14.28,0.1884,False,161,0.3913,1.134,0.0947,2.0545,-1.1651,15.248,17.555,0.7751,11,11.45,0.1768,False,False
BTCUSDT_1h_breakout_neely-off_vol-off_mps2.5_default,BTC/USDT,1h,breakout,False,False,2.5,1121,0.3238,0.878,-0.0485,1.0816,-0.5897,-54.402,56.841,23.3033,19,-17.508,0.3989,False,493,0.3834,0.968,-0.0127,0.9898,-0.636,-6.279,27.585,2.502,18,-4.715,0.4362,False,False
BTCUSDT_1h_breakout_neely-off_vol-off_mps2.5_fib_diag_emph,BTC/USDT,1h,breakout,False,False,2.5,1121,0.3238,0.878,-0.0485,1.0816,-0.5897,-54.402,56.841,23.3033,19,-17.508,0.3989,False,493,0.3834,0.968,-0.0127,0.9898,-0.636,-6.279,27.585,2.502,18,-4.715,0.4362,False,False
BTCUSDT_1h_breakout_neely-off_vol-off_mps3.0_default,BTC/USDT,1h,breakout,False,False,3.0,1121,0.3238,0.878,-0.0485,1.0816,-0.5897,-54.402,56.841,23.3033,19,-17.508,0.3989,False,493,0.3834,0.968,-0.0127,0.9898,-0.636,-6.279,27.585,2.502,18,-4.715,0.4362,False,False
BTCUSDT_1h_breakout_neely-off_vol-off_mps3.0_fib_diag_emph,BTC/USDT,1h,breakout,False,False,3.0,1121,0.3238,0.878,-0.0485,1.0816,-0.5897,-54.402,56.841,23.3033,19,-17.508,0.3989,False,493,0.3834,0.968,-0.0127,0.9898,-0.636,-6.279,27.585,2.502,18,-4.715,0.4362,False,False
BTCUSDT_1h_breakout_neely-off_vol-off_mps4.0_default,BTC/USDT,1h,breakout,False,False,4.0,1121,0.3238,0.878,-0.0485,1.0816,-0.5897,-54.402,56.841,23.3033,19,-17.508,0.3989,False,493,0.3834,0.968,-0.0127,0.9898,-0.636,-6.279,27.585,2.502,18,-4.715,0.4362,False,False
BTCUSDT_1h_breakout_neely-off_vol-off_mps4.0_fib_diag_emph,BTC/USDT,1h,breakout,False,False,4.0,1121,0.3238,0.878,-0.0485,1.0816,-0.5897,-54.402,56.841,23.3033,19,-17.508,0.3989,False,493,0.3834,0.968,-0.0127,0.9898,-0.636,-6.279,27.585,2.502,18,-4.715,0.4362,False,False
BTCUSDT_1h_breakout_neely-off_vol-off_mps2.5_default,BTC/USDT,1h,breakout,False,False,2.5,1121,0.3238,0.878,-0.0485,1.0816,-0.5897,-54.402,56.841,23.3033,19,-17.508,0.3989,False,493,0.3834,0.968,-0.0127,0.9898,-0.636,-6.279,27.585,2.502,18,-4.715,0.4362,False,False
BTCUSDT_1h_breakout_neely-off_vol-off_mps2.5_fib_diag_emph,BTC/USDT,1h,breakout,False,False,2.5,1121,0.3238,0.878,-0.0485,1.0816,-0.5897,-54.402,56.841,23.3033,19,-17.508,0.3989,False,493,0.3834,0.968,-0.0127,0.9898,-0.636,-6.279,27.585,2.502,18,-4.715,0.4362,False,False
BTCUSDT_1h_breakout_neely-off_vol-off_mps3.0_default,BTC/USDT,1h,breakout,False,False,3.0,1121,0.3238,0.878,-0.0485,1.0816,-0.5897,-54.402,56.841,23.3033,19,-17.508,0.3989,False,493,0.3834,0.968,-0.0127,0.9898,-0.636,-6.279,27.585,2.502,18,-4.715,0.4362,False,False
BTCUSDT_1h_breakout_neely-off_vol-off_mps3.0_fib_diag_emph,BTC/USDT,1h,breakout,False,False,3.0,1121,0.3238,0.878,-0.0485,1.0816,-0.5897,-54.402,56.841,23.3033,19,-17.508,0.3989,False,493,0.3834,0.968,-0.0127,0.9898,-0.636,-6.279,27.585,2.502,18,-4.715,0.4362,False,False
BTCUSDT_1h_breakout_neely-off_vol-off_mps4.0_default,BTC/USDT,1h,breakout,False,False,4.0,1121,0.3238,0.878,-0.0485,1.0816,-0.5897,-54.402,56.841,23.3033,19,-17.508,0.3989,False,493,0.3834,0.968,-0.0127,0.9898,-0.636,-6.279,27.585,2.502,18,-4.715,0.4362,False,False
BTCUSDT_1h_breakout_neely-off_vol-off_mps4.0_fib_diag_emph,BTC/USDT,1h,breakout,False,False,4.0,1121,0.3238,0.878,-0.0485,1.0816,-0.5897,-54.402,56.841,23.3033,19,-17.508,0.3989,False,493,0.3834,0.968,-0.0127,0.9898,-0.636,-6.279,27.585,2.502,18,-4.715,0.4362,False,False
BTCUSDT_1h_breakout_neely-off_vol-off_mps2.5_default,BTC/USDT,1h,breakout,False,False,2.5,1121,0.3238,0.878,-0.0485,1.0816,-0.5897,-54.402,56.841,23.3033,19,-17.508,0.3989,False,493,0.3834,0.968,-0.0127,0.9898,-0.636,-6.279,27.585,2.502,18,-4.715,0.4362,False,False
BTCUSDT_1h_breakout_neely-off_vol-off_mps2.5_fib_diag_emph,BTC/USDT,1h,breakout,False,False,2.5,1121,0.3238,0.878,-0.0485,1.0816,-0.5897,-54.402,56.841,23.3033,19,-17.508,0.3989,False,493,0.3834,0.968,-0.0127,0.9898,-0.636,-6.279,27.585,2.502,18,-4.715,0.4362,False,False
BTCUSDT_1h_breakout_neely-off_vol-off_mps3.0_default,BTC/USDT,1h,breakout,False,False,3.0,1121,0.3238,0.878,-0.0485,1.0816,-0.5897,-54.402,56.841,23.3033,19,-17.508,0.3989,False,493,0.3834,0.968,-0.0127,0.9898,-0.636,-6.279,27.585,2.502,18,-4.715,0.4362,False,False
BTCUSDT_1h_breakout_neely-off_vol-off_mps3.0_fib_diag_emph,BTC/USDT,1h,breakout,False,False,3.0,1121,0.3238,0.878,-0.0485,1.0816,-0.5897,-54.402,56.841,23.3033,19,-17.508,0.3989,False,493,0.3834,0.968,-0.0127,0.9898,-0.636,-6.279,27.585,2.502,18,-4.715,0.4362,False,False
BTCUSDT_1h_breakout_neely-off_vol-off_mps4.0_default,BTC/USDT,1h,breakout,False,False,4.0,1121,0.3238,0.878,-0.0485,1.0816,-0.5897,-54.402,56.841,23.3033,19,-17.508,0.3989,False,493,0.3834,0.968,-0.0127,0.9898,-0.636,-6.279,27.585,2.502,18,-4.715,0.4362,False,False
BTCUSDT_1h_breakout_neely-off_vol-off_mps4.0_fib_diag_emph,BTC/USDT,1h,breakout,False,False,4.0,1121,0.3238,0.878,-0.0485,1.0816,-0.5897,-54.402,56.841,23.3033,19,-17.508,0.3989,False,493,0.3834,0.968,-0.0127,0.9898,-0.636,-6.279,27.585,2.502,18,-4.715,0.4362,False,False
